2014-03-20 10:18:03.174 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent> VERBOSE [AgentInstancePanel[11]-0] com.quest.glue.core.agent.AgentInstance - Creating agent
2014-03-20 10:18:03.205 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> INFO [AgentInstancePanel[11]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Agent hadaSogetiAgent (version 1.0.0) created
2014-03-20 10:18:03.221 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent> INFO [AgentInstancePanel[11]-0] com.quest.glue.core.agent.AgentInstance - Created agent
2014-03-20 10:18:03.236 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent> VERBOSE [AgentInstancePanel[11]-0] com.quest.glue.core.agent.AgentInstance - Starting data collection
2014-03-20 10:18:03.236 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [AgentInstancePanel[11]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Data collection started
2014-03-20 10:18:03.236 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent> INFO [AgentInstancePanel[11]-0] com.quest.glue.core.agent.AgentInstance - Started data collection
2014-03-20 10:18:03.236 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Normal Collection collector invoked
2014-03-20 10:18:03.236 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [Quartz[0]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Metrics collection processed
2014-03-20 10:18:29.632 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent> VERBOSE [AgentInstancePanel[11]-0] com.quest.glue.core.agent.AgentInstance - Stopping data collection
2014-03-20 10:18:29.632 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent> INFO [AgentInstancePanel[11]-0] com.quest.glue.core.agent.AgentInstance - Stopped data collection
2014-03-20 10:18:29.632 ECHO    <hadaSogetiAgent/1.0.0/hadaSogetiAgent/TestAgent-agent> DEBUG [AgentInstancePanel[11]-0] de.com.aca.hada.agent.hadaSogetiAgentImpl - Stopping data collection
